2020-06-25 08:03:47 install libustr-1.0-1:armhf <none> 1.0.4-6
2020-06-25 08:03:47 status half-installed libustr-1.0-1:armhf 1.0.4-6
2020-06-25 08:03:48 status unpacked libustr-1.0-1:armhf 1.0.4-6
2020-06-25 08:03:48 status unpacked libustr-1.0-1:armhf 1.0.4-6
2020-06-25 08:03:48 install bsdutils:armhf <none> 1:2.29.2-1+deb9u1
2020-06-25 08:03:48 status half-installed bsdutils:armhf 1:2.29.2-1+deb9u1
2020-06-25 08:03:48 status unpacked bsdutils:armhf 1:2.29.2-1+deb9u1
2020-06-25 08:03:48 status unpacked bsdutils:armhf 1:2.29.2-1+deb9u1
2020-06-25 08:03:49 install libblkid1:armhf <none> 2.29.2-1+deb9u1
2020-06-25 08:03:49 status half-installed libblkid1:armhf 2.29.2-1+deb9u1
2020-06-25 08:03:49 status unpacked libblkid1:armhf 2.29.2-1+deb9u1
2020-06-25 08:03:49 status unpacked libblkid1:armhf 2.29.2-1+deb9u1
2020-06-25 08:03:50 install libfdisk1:armhf <none> 2.29.2-1+deb9u1
2020-06-25 08:03:50 status half-installed libfdisk1:armhf 2.29.2-1+deb9u1
2020-06-25 08:03:50 status unpacked libfdisk1:armhf 2.29.2-1+deb9u1
2020-06-25 08:03:50 status unpacked libfdisk1:armhf 2.29.2-1+deb9u1
2020-06-25 08:03:50 install libmount1:armhf <none> 2.29.2-1+deb9u1
2020-06-25 08:03:50 status half-installed libmount1:armhf 2.29.2-1+deb9u1
2020-06-25 08:03:51 status unpacked libmount1:armhf 2.29.2-1+deb9u1
2020-06-25 08:03:51 status unpacked libmount1:armhf 2.29.2-1+deb9u1
2020-06-25 08:03:51 install libsmartcols1:armhf <none> 2.29.2-1+deb9u1
2020-06-25 08:03:51 status half-installed libsmartcols1:armhf 2.29.2-1+deb9u1
2020-06-25 08:03:52 status unpacked libsmartcols1:armhf 2.29.2-1+deb9u1
2020-06-25 08:03:52 status unpacked libsmartcols1:armhf 2.29.2-1+deb9u1
2020-06-25 08:03:52 install libuuid1:armhf <none> 2.29.2-1+deb9u1
2020-06-25 08:03:52 status half-installed libuuid1:armhf 2.29.2-1+deb9u1
2020-06-25 08:03:52 status unpacked libuuid1:armhf 2.29.2-1+deb9u1
2020-06-25 08:03:52 status unpacked libuuid1:armhf 2.29.2-1+deb9u1
2020-06-25 08:03:53 install mount:armhf <none> 2.29.2-1+deb9u1
2020-06-25 08:03:53 status half-installed mount:armhf 2.29.2-1+deb9u1
2020-06-25 08:03:53 status unpacked mount:armhf 2.29.2-1+deb9u1
2020-06-25 08:03:53 status unpacked mount:armhf 2.29.2-1+deb9u1
2020-06-25 08:03:53 install util-linux:armhf <none> 2.29.2-1+deb9u1
2020-06-25 08:03:53 status half-installed util-linux:armhf 2.29.2-1+deb9u1
2020-06-25 08:03:55 status unpacked util-linux:armhf 2.29.2-1+deb9u1
2020-06-25 08:03:55 status unpacked util-linux:armhf 2.29.2-1+deb9u1
2020-06-25 08:03:55 install liblzma5:armhf <none> 5.2.2-1.2+b1
2020-06-25 08:03:55 status half-installed liblzma5:armhf 5.2.2-1.2+b1
